[01:40:24 15-05-2023] temp:23.13, humid:39.17, atm:1002.50
[01:40:27 15-05-2023] temp:24.31, humid:36.00, atm:995.52
[01:40:30 15-05-2023] temp:25.69, humid:32.41, atm:1001.78
[01:40:33 15-05-2023] temp:26.74, humid:29.41, atm:995.11
[01:40:36 15-05-2023] temp:29.03, humid:34.34, atm:988.24
[01:40:39 15-05-2023] temp:26.91, humid:38.25, atm:982.46
[01:40:42 15-05-2023] temp:28.32, humid:40.47, atm:987.69
[01:40:45 15-05-2023] temp:26.14, humid:44.52, atm:995.08
[01:40:48 15-05-2023] temp:28.12, humid:41.95, atm:1001.84
[01:40:51 15-05-2023] temp:26.04, humid:46.70, atm:1008.42
[01:40:54 15-05-2023] temp:27.90, humid:49.91, atm:1014.16
[01:40:57 15-05-2023] temp:25.76, humid:53.58, atm:1020.75
[01:41:00 15-05-2023] temp:24.48, humid:55.67, atm:1028.50
[01:41:03 15-05-2023] temp:25.89, humid:52.02, atm:1033.74
[01:41:06 15-05-2023] temp:23.58, humid:56.44, atm:1028.54
[01:41:10 15-05-2023] temp:25.23, humid:51.77, atm:1035.17
[01:41:13 15-05-2023] temp:22.84, humid:48.50, atm:1029.09
[01:41:16 15-05-2023] temp:20.91, humid:44.17, atm:1023.12
[01:41:19 15-05-2023] temp:18.75, humid:39.89, atm:1015.73
[01:41:22 15-05-2023] temp:17.18, humid:44.37, atm:1008.77
