[21:43:25 17-05-2023] temp:28.50, humid:54.03, atm:990.33
[21:43:55 17-05-2023] temp:27.33, humid:50.40, atm:994.03
[21:44:25 17-05-2023] temp:25.66, humid:46.27, atm:991.01
[21:44:55 17-05-2023] temp:23.39, humid:48.70, atm:986.57
[21:45:25 17-05-2023] temp:21.29, humid:45.18, atm:981.54
[21:45:55 17-05-2023] temp:19.71, humid:42.49, atm:985.61
[21:46:25 17-05-2023] temp:21.85, humid:45.54, atm:990.46
[21:46:55 17-05-2023] temp:23.81, humid:41.80, atm:986.01
[22:07:56 17-05-2023] temp:35.79, humid:57.11, atm:1016.93
[22:08:01 17-05-2023] temp:35.56, humid:55.44, atm:1016.01
[22:08:06 17-05-2023] temp:34.53, humid:53.42, atm:1014.68
[22:08:11 17-05-2023] temp:34.39, humid:51.97, atm:1014.16
[22:08:16 17-05-2023] temp:33.87, humid:50.16, atm:1013.08
[22:08:21 17-05-2023] temp:32.59, humid:46.07, atm:1012.20
[22:08:26 17-05-2023] temp:31.35, humid:42.92, atm:1011.12
[22:08:31 17-05-2023] temp:30.81, humid:39.35, atm:1010.53
[22:08:36 17-05-2023] temp:30.65, humid:36.46, atm:1010.10
[22:08:41 17-05-2023] temp:29.53, humid:35.23, atm:1009.65
[22:08:46 17-05-2023] temp:28.39, humid:31.62, atm:1008.76
[22:08:51 17-05-2023] temp:28.02, humid:27.82, atm:1007.78
[22:08:56 17-05-2023] temp:27.01, humid:25.62, atm:1007.23
[22:09:01 17-05-2023] temp:26.02, humid:28.71, atm:1006.95
[22:09:06 17-05-2023] temp:25.58, humid:28.14, atm:1006.85
[22:09:11 17-05-2023] temp:25.49, humid:26.84, atm:1006.70
[22:09:16 17-05-2023] temp:25.19, humid:30.59, atm:1006.60
[22:09:21 17-05-2023] temp:24.84, humid:29.73, atm:1006.24
[22:09:26 17-05-2023] temp:24.50, humid:26.46, atm:1005.73
[22:09:31 17-05-2023] temp:23.76, humid:28.42, atm:1005.27
[22:09:36 17-05-2023] temp:23.44, humid:25.81, atm:1004.93
