[20:33:19 15-05-2023] temp:12.94, humid:28.24, atm:1001.32
[20:33:22 15-05-2023] temp:15.31, humid:31.38, atm:998.09
[20:33:25 15-05-2023] temp:16.84, humid:28.12, atm:1003.68
[20:33:28 15-05-2023] temp:18.36, humid:23.14, atm:999.26
[20:33:31 15-05-2023] temp:16.30, humid:20.90, atm:1003.91
[22:28:34 15-05-2023] temp:15.31, humid:42.99, atm:1000.18
[22:28:37 15-05-2023] temp:14.10, humid:45.46, atm:1006.14
[22:28:40 15-05-2023] temp:12.30, humid:42.03, atm:1000.98
[22:28:43 15-05-2023] temp:11.28, humid:46.45, atm:1005.31
[22:28:46 15-05-2023] temp:8.96, humid:43.57, atm:1000.63
[22:28:49 15-05-2023] temp:10.93, humid:45.88, atm:994.91
[22:28:52 15-05-2023] temp:13.08, humid:48.48, atm:999.51
[22:28:55 15-05-2023] temp:14.94, humid:45.62, atm:995.84
[22:28:58 15-05-2023] temp:12.89, humid:42.68, atm:1000.27
[22:29:01 15-05-2023] temp:15.22, humid:40.52, atm:1004.49
[22:29:04 15-05-2023] temp:16.95, humid:35.91, atm:1000.11
[22:29:07 15-05-2023] temp:18.17, humid:32.31, atm:1005.81
[22:29:10 15-05-2023] temp:19.46, humid:29.62, atm:1009.04
[22:29:13 15-05-2023] temp:17.47, humid:32.15, atm:1003.35
[22:29:16 15-05-2023] temp:18.60, humid:36.49, atm:999.94
[22:29:19 15-05-2023] temp:20.69, humid:39.22, atm:1003.76
[22:29:22 15-05-2023] temp:22.33, humid:34.34, atm:998.62
[22:29:25 15-05-2023] temp:20.57, humid:30.12, atm:1004.26
[22:29:28 15-05-2023] temp:22.57, humid:34.92, atm:1009.26
[22:29:31 15-05-2023] temp:24.15, humid:31.85, atm:1005.07
[22:29:34 15-05-2023] temp:26.29, humid:36.65, atm:1009.91
[22:29:37 15-05-2023] temp:28.33, humid:39.61, atm:1013.95
[22:29:40 15-05-2023] temp:30.11, humid:43.87, atm:1008.89
[22:29:43 15-05-2023] temp:28.60, humid:45.91, atm:1013.35
[22:29:46 15-05-2023] temp:27.53, humid:42.45, atm:1017.62
[22:29:49 15-05-2023] temp:25.96, humid:46.57, atm:1013.04
[22:29:52 15-05-2023] temp:27.65, humid:49.34, atm:1018.36
[22:29:55 15-05-2023] temp:25.89, humid:54.06, atm:1023.41
